mpid,e_form (eV/atom),composition
mp-755740,-3.9313150704166673,Ho1O3Tb1
mp-1222723,-3.9306181825,La1O4U1
mp-768889,-3.930367060083332,Ho1O3Y1
mp-1223876,-3.9278175570155547,F6K2Th1
mp-2629,-3.9277733476315793,Ce7O12
mp-773102,-3.927771845803573,Ce4O9Y1
mp-1213962,-3.927576004274545,Al2Ca1F8
mp-676556,-3.926319588232757,O19Sm2Zr8
mp-1100897,-3.9262873725431024,O19Y2Zr8
mp-677237,-3.9260418241666657,O10U2Y3
mp-1223451,-3.9255986254600006,Ce1F4K1
mp-560641,-3.925047597330833,Ba12Cl5F19
mp-4974,-3.924686458522727,La2O7Zr2
mp-36699,-3.924472011249998,Ce2O7Y2
mp-673814,-3.9244211491666663,La3O10U2
mp-753763,-3.923161509812502,Ce5Dy2O13
mp-754354,-3.92302038349,Ba4F6O1
mp-762369,-3.922278643452382,O28U5Y9
mp-556690,-3.921581488623653,Cs1F25U6
mp-558826,-3.9204367161266673,Be1F6Ho1K1
mp-1226546,-3.9203832358333344,Ce1O4U1
mp-1100806,-3.9200091032327578,O19Sc2Zr8
mp-1209090,-3.9192604124983146,Be1F6Rb1Tm1
mp-997498,-3.9189100122321423,Ce4Gd1O9
mp-27496,-3.9186423974999975,O4U1Y1
mp-20276,-3.918453129155455,F9U2
mp-657176,-3.91794118621,Be1F4Yb1
mp-685633,-3.9175464954573194,O27U4Y10
mp-774567,-3.917082844427084,Er2O5Ti1
mp-754203,-3.91689125275,Er1O3Sm1
mp-756272,-3.91599725975,Dy1La1O3
mp-1211824,-3.915007924460937,F25K1U6
mp-673848,-3.9149005844318183,Ce2Dy2O7
mp-755660,-3.91455508806818,Lu3O7Ta1
mp-754306,-3.9142443466964285,Ce4O9Sm1
mp-8395,-3.9138216485880952,Ca1F5Ti1
mp-1209222,-3.9137706063872035,Be1F6Lu1Rb1
mp-1209268,-3.9136717886094248,Be1Er1F6Rb1
mp-753355,-3.913256800812501,Ce5O13Y2
mp-31117,-3.91304478175,Nd1O3Sc1
mp-1209229,-3.9128520574983146,Be1F6Ho1Rb1
mp-769931,-3.912530523068182,O7Ta1Tm3
mp-1209211,-3.911970864720536,Be1Dy1F6Rb1
mp-768605,-3.911913688489582,Ho2O5Ti1
mp-1196983,-3.9115179392975,Ba2F5O8Si2Y3
mp-30320,-3.9111670044706894,F5Hf1Rb1
mp-1204071,-3.9108476018551728,Al4Ba2F20Na2Sr1
mp-768333,-3.910381535750001,Dy1O3Y1
mp-9539,-3.9103375824599986,Eu1F4Mg1
mp-8398,-3.91006510295538,Cs1F3Yb1
mp-677234,-3.9099195563362064,Ce8Gd2O19
mp-531533,-3.90962704765,F15Yb1Zr3
mp-1191683,-3.909167936666666,Ce7O16Zr1
mp-755450,-3.908295829431818,Ce2La2O7
mp-1223092,-3.908287304772729,La3Nd1O14Zr4
mp-675192,-3.908124565803572,Ce3Dy2O9
mp-765639,-3.9080862806875,O24Sm11Y5
mp-684594,-3.907971022645349,Ce16O27
mp-752434,-3.90794249575,Gd3O6Y1
mp-6952,-3.9070255037829655,F3Rb1Yb1
mp-504886,-3.9060489717499984,Gd2O3
mp-559598,-3.906045405793333,F4Li1Sc1
mp-675068,-3.906010345818964,Nd2O19Zr8
mp-760513,-3.9058506819444436,La2O6U1
mp-1190780,-3.9055899036095236,Cl2Eu7F12
mp-556741,-3.9053303005711104,F6K1Na1Th1
mp-770816,-3.904742374114583,Dy2O5Ti1
mp-756277,-3.90466428625,Er3O7Ta1
mp-16577,-3.9042322285016673,Ca1F8Hf1Li2
mp-1211247,-3.9014316872377783,Be1F6K1Y1
mp-555730,-3.901092454721905,Al2Ca3F14Na2
mp-1218802,-3.9008391676612906,Ca2Lu10O18Sr1
mp-753088,-3.9004239228125024,Ce5Gd2O13
mp-756180,-3.899984279799999,Ba2Hf7O16
mp-1208720,-3.8996990287666673,F5Sr1Ti1
mp-755046,-3.8994221592105265,Ce3O12Y4
mp-752569,-3.8993187172500003,La3O6Sc1
mp-755717,-3.89880380775,Ho1O3Sm1
mp-760491,-3.8986704713970584,Ce4O11Y2
mp-10429,-3.897385324250001,La1O3Y1
mp-6591,-3.897299125793335,Al1F6Li1Sr1
mp-754134,-3.8967212083333367,Hf1O4Zr1
mp-752414,-3.896698922447917,O5Tb2Ti1
mp-559756,-3.89664124925,O3Pr1Sc1
mp-861145,-3.895663406843752,O48Sm27Y5
mp-1226815,-3.895629960166665,Ce4O10Zr1
mp-667386,-3.8955352377878953,Al5F26Na3Sr4
mp-1209088,-3.895532641387204,Be1F6Rb1Y1
mp-31416,-3.894725647613636,Ho3O7Ta1
mp-13978,-3.893741267536628,F6Rb2Th1
mp-780420,-3.8935806860833324,Al2Lu4O9
mp-753792,-3.8933200365625,Ce5O13Sm2
mp-1209496,-3.8931536550174712,Ce1F4Rb1
mp-1222852,-3.892110704659092,La1Nd1O7Zr2
mp-675003,-3.8917905540948268,Ce8Nd2O19
mp-554636,-3.891780980581852,B1F3Gd2O3
mp-532444,-3.891660531631578,O12Sc4Zr3
mp-1852,-3.891276331825,F5U1
mp-6134,-3.8908638727377785,Al1Ca1F6Li1
mp-468,-3.8905670946425004,Al1F3
mp-1213810,-3.88995695625,Ce1Lu1O3
mp-773114,-3.8887617855,Ce2O10U3
mp-559835,-3.8872885787033336,Ba1F7Ta1
mp-760425,-3.887274848674243,O7Tb2Zr2
mp-1215388,-3.88594167028,F22O2Pb1Zr6
mp-2292,-3.8857621327499996,La2O3
mp-677126,-3.885177686633,Ca2F7Yb1
mp-17888,-3.8848013803627777,F12K2O1Zr3
mp-754302,-3.884521523522727,Dy2O7Zr2
